"list","means","normmean","sds","normsd"
"energetic","50.8230088495575","0.832922407541697","18.0288608350292","0.619714325589369"
"enthusiastic","48.7345132743363","0.798694706308919","17.4274094968217","0.599040362112548"
"content","37.0530973451327","0.607251631617114","23.3256605740042","0.801783659201568"
"irritable","46.3451327433628","0.759535895576505","18.936345396912","0.65090770981902"
"restless","47.141592920354","0.77258883248731","20.695870558018","0.711388677449194"
"worried","47.5840707964602","0.779840464104424","21.4141665658327","0.736078996495397"
"guilty","39.9203539823009","0.654242204496012","22.0191238281475","0.756873470714054"
"afraid","38.9469026548673","0.638288614938361","25.4059331891913","0.873289826593904"
"anhedonia","41.8053097345133","0.685134155184917","21.1507591923348","0.727024773695842"
"angry","37.8318584070796","0.620014503263234","21.9642171069817","0.754986136733893"
"hopeless","34.1061946902655","0.558955765047136","21.9688752361228","0.755146252749295"
"down","41.2389380530973","0.675852066715011","22.0057923934177","0.756415223176491"
"positive","53.2389380530973","0.872516316171139","17.6702303810489","0.60738695604795"
"fatigue","37.2035398230088","0.609717186366933","22.5927292713652","0.776590274435086"
"tension","20.1946902654867","0.330964467005076","23.2969412489063","0.800796476630952"
"concentrate","46.8672566371681","0.768092820884699","23.1310337397845","0.795093661513211"
"accepted","61.0176991150442","1","29.0922124769072","1"
"threatened","25.9203539823009","0.424800580130529","25.2544697574651","0.868083504391822"
"ruminate","49.8141592920354","0.816388687454677","23.0657246768285","0.792848763054292"
"avoid_act","28.9115044247788","0.473821609862219","23.6014366701493","0.811263037793487"
"reassure","45.1769911504425","0.740391588107324","26.4977189343373","0.910818280162451"
"procrast","45.9646017699115","0.753299492385787","21.9162078003683","0.753335890756502"
"avoid_people","25.8672566371681","0.423930384336476","22.5920752638661","0.776567793934519"
