"list","means","normmean","sds","normsd"
"energetic","29.9174311926606","0.390538922155689","21.2825473797137","0.550480271409598"
"enthusiastic","41.9449541284404","0.547544910179641","20.2053508050537","0.522618218423142"
"content","40.9082568807339","0.534011976047904","18.3986419005657","0.475887082795615"
"irritable","23.1651376146789","0.302395209580838","25.7701786313919","0.666554368430744"
"restless","59.6880733944954","0.779161676646707","26.9813712304628","0.697882273815855"
"worried","76.605504587156","1","19.4916973533671","0.504159331017995"
"guilty","71.2385321100917","0.929940119760479","20.5137257945381","0.530594441611025"
"afraid","66.1284403669725","0.863233532934132","20.2740944527334","0.524396296073212"
"anhedonia","69.1100917431193","0.902155688622755","26.0652100507843","0.674185455674382"
"angry","28.9082568807339","0.377365269461078","25.7288357052591","0.665485019691966"
"hopeless","64.5596330275229","0.842754491017964","20.4972587113228","0.530168514945578"
"down","53.0550458715596","0.692574850299401","22.5605501568004","0.583536244599324"
"positive","43.9633027522936","0.573892215568862","18.6517433429577","0.482433637031641"
"fatigue","69.0825688073395","0.901796407185629","26.0359894933088","0.673429656092552"
"tension","63.3577981651376","0.827065868263473","23.3168683716872","0.603098670505153"
"concentrate","59.5045871559633","0.776766467065868","27.6631938426853","0.715517845814497"
"accepted","42.8623853211009","0.559520958083832","20.1252871568693","0.520547345139214"
"threatened","63.5779816513761","0.829940119760479","18.8322485321705","0.487102464675996"
"ruminate","57","0.744071856287425","29.5127091267474","0.763356182898016"
"avoid_act","57.8348623853211","0.75497005988024","34.1007531581505","0.882027490358764"
"reassure","34.7798165137615","0.454011976047904","19.8271969023122","0.5128371400916"
"procrast","65.8990825688073","0.860239520958084","31.4071072854444","0.812355430683146"
"avoid_people","43.5229357798165","0.56814371257485","38.6617804216964","1"
